----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.2.0.9001--------------------------
-------------------------2025-12-02T10:29:40--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.19045---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
-----------------------------.NET 8.0.21------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.84 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-12-02T10:29:40.8061|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2025-12-02T10:29:41.6044|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-12-02T10:29:41.8943|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-12-02T10:29:41.8954|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-12-02T10:29:43.1374|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-12-02T10:29:43.5001|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-12-02T10:29:43.6636|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-12-02T10:29:43.8069|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-12-02T10:29:44.1451|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-12-02T10:29:44.2939|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-12-02T10:29:44.4162|INFO|CameraChooserVM.cs|GetEquipment|243|Found 0 SVBony Cameras
2025-12-02T10:29:44.4195|INFO|CameraChooserVM.cs|GetEquipment|259|Found 0 SBIG Cameras
2025-12-02T10:29:47.6570|INFO|API.cs|Start|99|Starting Webserver
2025-12-02T10:29:47.6583|INFO|API.cs|APITask|133|starting web server, listening at 172.19.6.111:1888
2025-12-02T10:29:47.8080|INFO|NINALogWatcher.cs|Start|33|watching log file: C:\Users\nicka\AppData\Local\NINA\Logs\20251202-102936-3.2.0.9001.8916-202512.log
2025-12-02T10:29:47.8245|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Advanced API version 2.2.12.1 by Christian Palm
2025-12-02T10:29:47.9685|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Autofocus Report Analysis version 2.0.0.9 by Stefan Berg @isbeorn
2025-12-02T10:29:48.1592|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Connector version 2.1.0.2 by Stefan Berg @isbeorn
2025-12-02T10:29:48.3328|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Device Actions and Commands version 2.2.0.0 by Dale Ghent
2025-12-02T10:29:48.9160|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Discord Alert version 2.2.0.0 by Drew McDermott
2025-12-02T10:29:50.3234|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Discord Notification version 2.0.0.8 by Daniel Ludwig
2025-12-02T10:29:51.2848|INFO|DitherStatisticsVM.cs|CreatePluginIcon|1349|Plugin icon geometry created successfully
