----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.2.0.9001--------------------------
-------------------------2026-03-26T10:41:17--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.19045---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
-----------------------------.NET 8.0.21------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.84 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2026-03-26T10:41:17.3323|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2026-03-26T10:41:18.2198|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2026-03-26T10:41:18.5155|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2026-03-26T10:41:18.5167|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2026-03-26T10:41:19.7675|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2026-03-26T10:41:20.1408|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2026-03-26T10:41:20.2906|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2026-03-26T10:41:20.4382|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2026-03-26T10:41:20.7497|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2026-03-26T10:41:20.8991|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2026-03-26T10:41:21.0277|INFO|CameraChooserVM.cs|GetEquipment|243|Found 0 SVBony Cameras
2026-03-26T10:41:21.0310|INFO|CameraChooserVM.cs|GetEquipment|259|Found 0 SBIG Cameras
2026-03-26T10:41:24.7672|INFO|API.cs|Start|99|Starting Webserver
2026-03-26T10:41:24.7686|INFO|API.cs|APITask|134|starting web server, listening at 172.19.6.111:1888
2026-03-26T10:41:24.9104|INFO|NINALogWatcher.cs|Start|33|watching log file: C:\Users\nicka\AppData\Local\NINA\Logs\20260326-104113-3.2.0.9001.4592-202603.log
2026-03-26T10:41:24.9268|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Advanced API version 2.2.15.0 by Christian Palm
